n,D,H,WSG,AGB
187,8,11,0.59,19.96
188,8.3,11.5,0.59,32.8
189,11.1,13.5,0.59,56.29
190,6.8,10,0.5,5.96
191,10.2,13.5,0.65,54.25
192,6.8,7.5,0.6,10.55
193,23.6,20.8,0.6,250.26
194,7.6,15.5,0.39,16.19
195,6.4,11.4,0.7,8.02
196,11.1,14.4,0.59,40.09
197,5.7,7.8,0.71,5.77
198,10.5,15.4,0.68,32.27
199,18.8,22,0.63,157.33
200,23.1,28.1,0.61,323.11
201,12.7,16.9,0.92,98.49
202,20.1,18,0.61,148.44
203,20.7,22,0.76,324.25
204,25.5,21.9,0.72,730.11
205,31.8,27,0.66,705.52
206,36,18.1,0.46,618.87
207,38.2,28.6,0.57,1257.93
208,38.5,27.1,0.5,626.57
209,41.4,36.3,0.8,2272.15
210,43.9,25.3,0.57,1011.08
211,48.4,39.4,0.66,2436.77
212,79.9,39.1,0.72,6887.79
213,80.1,44.9,0.61,8440.24
214,80.5,41.4,0.66,7245.16
215,85.3,45.1,0.5,5295.96
216,85.8,42.1,0.5,2967.47
217,88,40.4,0.5,5497.54
218,93.8,31.3,0.57,5130.72
219,104.9,43.5,0.61,6685.88
220,107,39.3,0.66,7130.94
221,20.5,21.2,0.23,100
222,29.5,22.5,0.27,300
223,132,45,0.54,15380
224,100,50.5,0.58,18610
225,90,50.5,0.57,12340
226,26.5,26,0.73,790
227,12,17,0.78,130
228,21.6,9.5,0.41,194.6
229,30.2,14.5,0.73,398.5
230,34.7,17,0.73,554.8
231,17.1,8.5,0.73,81.8
232,19.2,11.1,0.81,98.33
233,9.5,5,0.79,14.43
234,7.1,6.4,0.78,14.93
235,9.2,5.4,0.78,13.49
236,6.2,6.6,0.64,10.48
237,8.9,9.2,0.76,23.55
238,8.8,8.8,0.85,20.33
239,10,6.9,0.59,12.28
240,16.1,8.5,0.84,34.11
241,7.5,6.3,0.59,11.22
242,6.7,7.4,0.34,4.62
243,17.2,9,0.34,39.27
244,8,8.1,0.8,22.55
245,6.1,7.6,0.8,6.42
246,7.4,7.1,0.6,8.64
247,8.9,9.3,0.77,27.84
248,6.8,7.1,0.81,5.77
249,21.4,10.4,0.81,100.89
250,12.8,8.6,0.81,38.9
251,10.6,8.2,0.81,40.31
252,10.4,8,0.81,43.79
253,8.7,7.7,0.81,20.55
254,8.3,6,0.81,26.9
255,9.5,5.5,0.69,19.41
256,75.2,50.5,0.37,8340.57
257,46.2,32.6,0.36,2537.03
258,25,28.1,0.62,486
259,20.9,25.1,0.44,298.67
260,5.4,8.6,0.59,9.76
261,6,8.9,0.59,13.85
262,25.4,24.4,0.5,477.72
263,11.4,13.7,0.34,22.18
264,16.3,20,0.34,165.77
265,25,27.7,0.55,485.49
266,5.1,9.6,0.6,7.59
267,6.8,11.2,0.69,23.73
268,11.9,16.3,0.79,107.04
269,48.1,38.3,0.57,2353.01
270,5.6,8.1,0.46,6.07
271,12.2,18.6,0.52,75.32
272,10.5,11.6,0.56,38.84
273,21.8,20.2,0.7,254.18
274,42.1,27.9,0.71,1743.91
275,11.9,17.4,0.53,63.48
276,67.7,43.5,0.72,6270.05
277,6,11.1,0.68,19.09
278,68.9,35.1,0.51,3546.68
279,53,31,0.53,2583.27
280,45,37,0.5,1785.34
281,36.9,22.4,0.37,588.63
282,43.9,42.4,0.53,1660.94
283,49.7,38.5,0.52,2017.15
284,58.9,38.5,0.54,3360.43
285,75.1,46.3,0.52,5426.59
286,9.6,11.6,0.7,95.01
287,11,14.6,0.78,119.08
288,13.2,18.5,0.49,137.32
289,13.4,10.2,0.77,130.49
290,13.5,16.2,0.49,93.82
291,14.5,18.6,0.7,279.97
292,14.8,13.1,0.77,173.83
293,14.9,15.3,0.76,167.39
294,16.5,14.9,0.77,290.58
295,17.5,14.8,0.78,220.86
296,18,16.8,0.7,326.84
297,18.6,18.4,0.78,339.24
298,19,13,0.76,236.31
299,20.4,19.9,0.7,495.05
300,20.7,17,0.7,457.77
301,20.7,18,0.86,408
302,24.7,27,0.86,782.61
303,25.3,18,0.89,843.23
304,25.4,19,0.53,446.69
305,26,21.5,0.89,1150.24
306,26.1,23,0.86,911.95
307,26.5,19.4,0.7,750.05
308,27.3,8.9,0.76,589.8
309,27.6,26.5,0.86,958.09
310,27.7,26.8,0.75,895.61
311,28.7,18.5,0.98,750.23
312,30.3,23.5,0.49,611.74
313,31.2,21.5,0.89,1142.69
314,31.8,28.7,0.49,862.46
315,32.2,20.5,0.85,870.02
316,32.5,23,0.89,1545.07
317,35.4,19,0.89,1410.63
318,36,21.5,0.89,1783.17
319,39.7,28,0.53,1214.04
320,40.6,24,0.75,2277.79
321,47.2,21.5,0.53,1578.23
322,47.8,24.1,0.89,3412.33
323,12.9,14,0.3,20.42
324,12.4,16,0.16,24.26
325,22,15,0.16,87.29
326,9.2,10.5,0.59,23.65
327,42.2,27,0.87,1887.94
328,15.7,13,0.67,190.48
329,23.7,22,0.67,266.21
330,12,7.5,0.36,18.77
331,15.8,6.5,0.52,37.66
332,12.6,11.3,0.81,94.5
333,34.7,17.5,0.61,447.99
334,33.6,22.3,0.55,680.98
335,50.6,28.1,0.57,1777.74
336,16.2,15.5,0.76,166.65
337,44.1,14.2,0.39,754.91
338,15.4,18,0.8,174.44
339,35.4,20.8,0.76,857.64
340,45.6,31.7,0.81,2321.47
341,14.5,16.9,0.8,141.15
342,32.1,20.9,0.71,636.66
343,16.6,14.1,0.46,58.93
344,23.2,10.5,0.53,112.95
345,15.1,12.5,0.56,95.12
346,27,13.2,0.68,307.42
347,8.6,10.2,0.61,18.61
348,29.9,11,0.68,546.06
349,14.6,12.5,0.73,109.97
350,28.7,14,0.76,511.72
351,15.9,9.3,0.43,85.14
